DATA IN NGS FORMAT FROM DATABASE 19JAN10XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL   0.00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
MATERA      4641938.47400  1393003.32200  4133325.77100 AZEL   0.00000                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
RAEGSMAR    4618520.15400 -2166021.90200  3816274.03100 AZEL   0.00000                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
YEBES40M    4848761.82900  -261484.18700  4123085.04500 AZEL   2.00050                          
ZELENCHK    3451207.54000  3060375.41800  4391915.04800 AZEL   0.00000                          
$END                                                                                            
0008-264   0 11     1.246738 -26 12    33.377020                                                
0047+023   0 49    43.235939   2 37     3.778590                                                
0054+161   0 56    55.294330  16 25    13.341020                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0134+311   1 37     8.733630  31 22    35.855360                                                
0151+474   1 54    56.289888  47 43    26.539570                                                
0212+735   2 17    30.813375  73 49    32.621740                                                
0221+067   2 24    28.428197   6 59    23.341540                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0338-214   3 40    35.607858 -21 19    31.172030                                                
0358+210   4  1    45.166073  21 10    28.587040                                                
0415+398   4 19    22.549524  39 55    28.977530                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
0458-020   5  1    12.809884 - 1 59    14.256250                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0536+145   5 39    42.365991  14 33    45.561700                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0544+273   5 47    34.148921  27 21    56.842570                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
0632-235   6 34    59.001001 -23 35    11.957200                                                
0657+172   7  0     1.525536  17  9    21.701490                                                
0718+793   7 26    11.735241  79 11    31.016210                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
0749+540   7 53     1.384570  53 52    59.637080                                                
0808+019   8 11    26.707312   1 46    52.220260                                                
0827+243   8 30    52.086191  24 10    59.820400                                                
0847-120   8 50     9.635633 -12 13    35.376070                                                
0925-203   9 27    51.824316 -20 34    51.232400                                                
0951+268   9 54    39.796529  26 39    24.543450                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1101+384  11  4    27.313941  38 12    31.799060                                                
1123+264  11 25    53.711923  26 10    19.978680                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
1145-071  11 47    51.554029 - 7 24    41.141090                                                
1255-316  12 57    59.060822 -31 55    16.851730                                                
1357+769  13 57    55.371531  76 43    21.051050                                                
1406-076  14  8    56.481200 - 7 52    26.666420                                                
1413+135  14 15    58.817512  13 20    23.712860                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
1418+546  14 19    46.597402  54 23    14.787190                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1502+036  15  5     6.477159   3 26    30.812660                                                
1520+319  15 22     9.991732  31 44    14.381950                                                
1602-115  16  5    17.531655 -11 39    26.831070                                                
1616+063  16 19     3.687677   6 13     2.242980                                                
1622-253  16 25    46.891640 -25 27    38.326800                                                
1623+578  16 24    24.807567  57 41    16.280930                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1706-174  17  9    34.345393 -17 28    53.364970                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1758-651  18  3    23.496667 -65  7    36.761210                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
1803+784  18  0    45.683916  78 28     4.018450                                                
1806+456  18  8    21.885888  45 42    20.866450                                                
1929+226  19 31    24.916784  22 43    31.258620                                                
1936-155  19 39    26.657747 -15 25    43.058420                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
2029+024  20 31    47.251125   2 39    37.283360                                                
2052-474  20 56    16.359819 -47 14    47.627650                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
2126-158  21 29    12.175898 -15 38    41.041310                                                
2141+175  21 43    35.544565  17 43    48.787610                                                
2152-699  21 57     5.980541 -69 41    23.685670                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
2227-088  22 29    40.084340 - 8 32    54.435390                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2254+074  22 57    17.303122   7 43    12.302480                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
2356+385  23 59    33.180797  38 50    42.318290                                                
3C274     12 30    49.423382  12 23    28.043780                                                
3C286     13 31     8.288050  30 30    32.959220                                                
3C418     20 38    37.034735  51 19    12.662590                                                
4C39.25    9 27     3.013936  39  2    20.851840                                                
CTA26      3 39    30.937788 - 1 46    35.804130                                                
NRAO512   16 40    29.632772  39 46    46.028500                                                
$END                                                                                            
    8.2209900000e+03           GR PH                                                            
$END                                                                                            
FORTLEZA  HART15M   0454-234 2019 01 10 18 30  30.0000000000                 101                
  -18090866.59970696   0.01996   994940.7319954027   0.04067 0      I        102                
   0.00048    .00000    .00000    .00000   0.105996532802893       0.0       103                
  8.222   0.565 -0.1508  0.0002 -0.0391  0.0006      11769.560               104
  -0.03341   0.00000    .00000    .00000    .00000    .00000                 105                
    10.000    17.815  1000.000   859.115    50.000    86.715 0 0             106                
       -1.0840342517   0.01000       -0.1806277043   0.00887  0              108                
FORTLEZA  KATH12M   0454-234 2019 01 10 18 30  30.0000000000                 201                
   -1459902.08569384   0.09530  2790947.8216696661   0.04331 4      I        202                
   0.00005    .00000    .00000    .00000   2.876387615388651       0.2       203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               204
  -0.03341   0.00000    .00000    .00000    .00000    .00000                 205                
    10.000    26.818  1000.000   990.488    50.000    82.846 0 0             206                
       -0.6057385593   0.05638       -4.4832091310   0.01315  0              208                
FORTLEZA  MATERA    0454-234 2019 01 10 18 30  30.0000000000                 301                
   -5188007.32605292   0.02263   872501.1288453510   0.04458 0      I        302                
   0.00042    .00000    .00000    .00000  -0.962491251931802       0.0       303                
  8.222   0.592 -0.1508 -0.0263 -0.0391 -0.0310      -1877.354               304
  -0.03341   0.79610    .00000    .00000    .00000    .00000                 305                
    10.000     1.300  1000.000   949.810    50.000    93.580 0 0             306                
        0.5791445276   0.01693       -0.1289843558   0.01665  0              308                
FORTLEZA  YARRA12M  0454-234 2019 01 10 18 30  30.0000000000                 401                
   -8162608.68145596   0.03461  2575032.0914692101   0.02297 0      I        402                
   0.00016    .00000    .00000    .00000  -3.350333084042967       0.1       403                
  8.222   0.766 -0.1508 -0.0033 -0.0391 -0.0148       6455.555               404
  -0.03341   0.00000    .00000    .00000    .00000    .00000                 405                
    10.000    15.200  1000.000   982.908    50.000    50.000 0 0             406                
       -1.3625541492   0.01769       -0.1728193046   0.00525  0              408                
FORTLEZA  YEBES40M  0454-234 2019 01 10 18 30  30.0000000000                 501                
   -1942182.35762661   0.00834   586205.4145723257   0.01759 0      I        502                
   0.00119    .00000    .00000    .00000  -0.535495582240874       0.0       503                
  8.222   0.279 -0.1508  0.0742 -0.0391 -0.0303      -5058.628               504
  -0.03341   0.00682    .00000    .00000    .00000    .00000                 505                
    10.000     1.115  1000.000   913.700    50.000    43.699 0 0             506                
       -2.7367843761   0.00677       -0.0887552472   0.00948  0              508                
FORTLEZA  ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                 601                
   -5861191.55993099   0.01232  1321022.0009425457   0.02426 0      I        602                
   0.00077    .00000    .00000    .00000   1.383421239344938       0.0       603                
  8.222   0.334 -0.1508  0.0204 -0.0391 -0.0031     213684.602               604
  -0.03341   0.00000    .00000    .00000    .00000    .00000                 605                
    10.000    -1.000  1000.000   884.900    50.000    61.600 0 0             606                
       -1.7816824044   0.00868       -0.1733587036   0.01021  0              608                
HART15M   KATH12M   0454-234 2019 01 10 18 30  30.0000000000                 701                
   16631025.57148893   0.06941  1796015.8684919719   0.14141 2      I        702                
   0.00014    .00000    .00000    .00000   4.817309537850542       0.1       703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               704
   0.00000   0.00000    .00000    .00000    .00000    .00000                 705                
    17.815    26.818   859.115   990.488    86.715    82.846 0 0             706                
        3.0480733301   0.03081        0.2967731389   0.02119  0              708                
HART15M   MATERA    0454-234 2019 01 10 18 30  30.0000000000                 801                
   12902857.04109601   0.01272  -122439.7917383000   0.02592 0      I        802                
   0.00075    .00000    .00000    .00000  -0.006626031136793       0.0       803                
  0.565   0.592  0.0002 -0.0263  0.0006 -0.0310     -13646.914               804
   0.00000   0.79610    .00000    .00000    .00000    .00000                 805                
    17.815     1.300   859.115   949.810    86.715    93.580 0 0             806                
        1.6641858315   0.00824        0.0186837032   0.00758  0              808                
HART15M   YARRA12M  0454-234 2019 01 10 18 30  30.0000000000                 901                
    9928286.48440887   0.01785  1580088.4934953477   0.03636 0      I        902                
   0.00054    .00000    .00000    .00000   3.042151816382888       0.0       903                
  0.565   0.766  0.0002 -0.0033  0.0006 -0.0148      -5314.005               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
    17.815    15.200   859.115   982.908    86.715    50.000 0 0             906                
       -0.3375849915   0.00880       -0.0252011852   0.00757  0              908                
HART15M   YEBES40M  0454-234 2019 01 10 18 30  30.0000000000                1001                
   16148676.83302007   0.00437  -408735.4998991432   0.00956 0      I       1002                
   0.00227    .00000    .00000    .00000   3.044914313381628       0.0      1003                
  0.565   0.279  0.0002  0.0742  0.0006 -0.0303     -16828.187              1004
   0.00000   0.00682    .00000    .00000    .00000    .00000                1005                
    17.815     1.115   859.115   913.700    86.715    43.699 0 0            1006                
       -1.6579466921   0.00316        0.0864186839   0.00442  0             1008                
HART15M   ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                1101                
   12229680.89385270   0.00460   326080.6838448812   0.00938 0      I       1102                
   0.00207    .00000    .00000    .00000   4.640699879633065       0.0      1103                
  0.565   0.334  0.0002  0.0204  0.0006 -0.0031     201915.043              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
    17.815    -1.000   859.115   884.900    86.715    61.600 0 0            1106                
       -0.7264002549   0.00301        0.0101347626   0.00356  0             1108                
KATH12M   MATERA    0454-234 2019 01 10 18 30  30.0000000000                1201                
   -3728119.26366606   0.10318 -1918429.7169617177   0.20321 2      I       1202                
   0.00011    .00000    .00000    .00000  -3.648606859815732       0.2      1203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1204
   0.00000   0.79610    .00000    .00000    .00000    .00000                1205                
    26.818     1.300   990.488   949.810    82.846    93.580 0 0            1206                
       -2.6399183014   0.05883       -1.2233638914   0.04837  0             1208                
KATH12M   YARRA12M  0454-234 2019 01 10 18 30  30.0000000000                1301                
   -6702787.17401501   0.05282  -215926.9229016345   0.03507 2      I       1302                
   0.00010    .00000    .00000    .00000  -3.689493573083392       0.1      1303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1304
   0.00000   0.00000    .00000    .00000    .00000    .00000                1305                
    26.818    15.200   990.488   982.908    82.846    50.000 0 0            1306                
        0.7716286819   0.02605        0.5182307176   0.00738  0             1308                
KATH12M   YEBES40M  0454-234 2019 01 10 18 30  30.0000000000                1401                
    -482313.79298858   0.06656 -2204748.3365869774   0.14044 2      I       1402                
   0.00015    .00000    .00000    .00000  -0.109442671575834       0.1      1403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1404
   0.00000   0.00682    .00000    .00000    .00000    .00000                1405                
    26.818     1.115   990.488   913.700    82.846    43.699 0 0            1406                
        3.1319519003   0.03190       -0.1808317523   0.02987  0             1408                
KATH12M   ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                1501                
   -4401371.93183054   0.05077 -1469933.7241454644   0.09998 2      I       1502                
   0.00019    .00000    .00000    .00000  -5.314651675629531       0.1      1503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1504
   0.00000   0.00000    .00000    .00000    .00000    .00000                1505                
    26.818    -1.000   990.488   884.900    82.846    61.600 0 0            1506                
        0.2116165157   0.02450       -0.2546814756   0.02087  0             1508                
MATERA    YARRA12M  0454-234 2019 01 10 18 30  30.0000000000                1601                
   -2974592.52634334   0.04258  1702528.9704589688   0.08675 0      I       1602                
   0.00023    .00000    .00000    .00000  -5.300581130326207       0.1      1603                
  0.592   0.766 -0.0263 -0.0033 -0.0310 -0.0148       8332.909              1604
   0.79610   0.00000    .00000    .00000    .00000    .00000                1605                
     1.300    15.200   949.810   982.908    93.580    50.000 0 0            1606                
       -1.9713861750   0.02366       -0.0450391920   0.01971  0             1608                
MATERA    YEBES40M  0454-234 2019 01 10 18 30  30.0000000000                1701                
    3245823.47481531   0.00484  -286295.4815775316   0.01022 8      I       1702                
   0.00203    .00000    .00000    .00000  -0.718937913130085       0.0      1703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1704
   0.79610   0.00682    .00000    .00000    .00000    .00000                1705                
     1.300     1.115   949.810   913.700    93.580    43.699 0 0            1706                
        0.0000000000   0.00000        0.0000000000   0.00000  0             1708                
MATERA    ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                1801                
    -673181.94898183   0.00620   448520.4551765143   0.01220 8      I       1802                
   0.00153    .00000    .00000    .00000  -3.117941918897126       0.0      1803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1804
   0.79610   0.00000    .00000    .00000    .00000    .00000                1805                
     1.300    -1.000   949.810   884.900    93.580    61.600 0 0            1806                
        0.0000000000   0.00000        0.0000000000   0.00000  0             1808                
YARRA12M  YEBES40M  0454-234 2019 01 10 18 30  30.0000000000                1901                
    6220410.09580444   0.01636 -1988820.9395094134   0.03581 0      I       1902                
   0.00061    .00000    .00000    .00000   6.009199294232235       0.0      1903                
  0.766   0.279 -0.0033  0.0742 -0.0148 -0.0303     -11514.182              1904
   0.00000   0.00682    .00000    .00000    .00000    .00000                1905                
    15.200     1.115   982.908   913.700    50.000    43.699 0 0            1906                
       -1.3316350944   0.01026        0.1066004106   0.01334  0             1908                
YARRA12M  ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                2001                
    2301406.87211006   0.01350 -1254006.2043014441   0.02750 0      I       2002                
   0.00071    .00000    .00000    .00000   4.009232160926087       0.0      2003                
  0.766   0.334 -0.0033  0.0204 -0.0148 -0.0031     207229.047              2004
   0.00000   0.00000    .00000    .00000    .00000    .00000                2005                
    15.200    -1.000   982.908   884.900    50.000    61.600 0 0            2006                
       -0.3888900845   0.00816        0.0189123097   0.00919  0             2008                
YEBES40M  ZELENCHK  0454-234 2019 01 10 18 30  30.0000000000                2101                
   -3919007.81371076   0.00235   734816.0883527660   0.00495 0      I       2102                
   0.00418    .00000    .00000    .00000  -0.047366974825771       0.0      2103                
  0.279   0.334  0.0742  0.0204 -0.0303 -0.0031     218743.230              2104
   0.00682   0.00000    .00000    .00000    .00000    .00000                2105                
     1.115    -1.000   913.700   884.900    43.699    61.600 0 0            2106                
