DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL    .00000                          
MEDICINA    4461369.69800   919597.12500  4449559.38400 AZEL   1.82800                          
BADARY      -838201.06800  3865751.56500  4987670.89100 AZEL    .00000                          
YEBES40M    4848761.82900  -261484.18700  4123085.04500 AZEL   2.00050                          
ZELENCHK    3451207.54000  3060375.41800  4391915.04800 AZEL    .00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL    .00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL    .00000                          
WARK12M    -5115324.43100   477843.30200 -3767192.84400 AZEL    .00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL    .51820                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL    .52050                          
$END                                                                                            
1639-062  16 42     2.177717 - 6 21    23.694970                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
NRAO512   16 40    29.632772  39 46    46.028500                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
2227-088  22 29    40.084340 - 8 32    54.435390                                                
1418+546  14 19    46.597402  54 23    14.787190                                                
0048-097   0 50    41.317388 - 9 29     5.210270                                                
1803+784  18  0    45.683916  78 28     4.018450                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
3C418     20 38    37.034735  51 19    12.662590                                                
1456+044  14 58    59.356212   4 16    13.820600                                                
0229+131   2 31    45.894054  13 22    54.716270                                                
1936-155  19 39    26.657747 -15 25    43.058420                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
0827+243   8 30    52.086191  24 10    59.820400                                                
0723+219   7 26    14.260738  21 53    20.114080                                                
2215+150  22 18    10.913903  15 20    35.717440                                                
1546+027  15 49    29.436843   2 37     1.163420                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1520+319  15 22     9.991732  31 44    14.381950                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
0016+731   0 19    45.786419  73 27    30.017440                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
1519-273  15 22    37.675989 -27 30    10.785420                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
0403-132   4  5    34.003390 -13  8    13.690710                                                
0019+058   0 22    32.441209   6  8     4.269080                                                
0805+410   8  8    56.652039  40 52    44.888860                                                
2318+049  23 20    44.856598   5 13    49.952560                                                
0544+273   5 47    34.148921  27 21    56.842570                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
0627-199   6 29    23.761865 -19 59    19.723560                                                
0442+389   4 46    11.494035  39  0    17.099980                                                
1351-018  13 54     6.895322 - 2  6     3.190440                                                
1213-172  12 15    46.751761 -17 31    45.402950                                                
0322+222   3 25    36.814352  22 24      .365590                                                
1212+171  12 15     3.979139  16 54    37.956850                                                
1706-174  17  9    34.345393 -17 28    53.364970                                                
