DATA IN NGS FORMAT FROM DATABASE 19JUL04XE_V005                                                 
Observed delays and rates in card #2, modified errors in card #9                                
MATERA      4641938.47400  1393003.32200  4133325.77100 AZEL    .00000                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL    .52050                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL    .00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL    .00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ZELENCHK    3451207.54000  3060375.41800  4391915.04800 AZEL    .00000                          
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL    .00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL    .00000                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL    .00000                          
$END                                                                                            
1751+288  17 53    42.473644  28 48     4.938880                                                
1546+027  15 49    29.436843   2 37     1.163420                                                
1611+343  16 13    41.064243  34 12    47.908900                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1831-711  18 37    28.714938 -71  8    43.554590                                                
1101+384  11  4    27.313941  38 12    31.799060                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0003-066   0  6    13.892888 - 6 23    35.335340                                                
1406-267  14  9    50.169789 -26 57    36.980140                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
0133+476   1 36    58.594806  47 51    29.100040                                                
1520+437  15 21    49.613880  43 36    39.268160                                                
1908-201  19 11     9.652892 -20  6    55.108990                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
0016+731   0 19    45.786419  73 27    30.017440                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
1418+546  14 19    46.597402  54 23    14.787190                                                
0025+197   0 28    29.818482  20  0    26.743960                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
2052-474  20 56    16.359819 -47 14    47.627650                                                
1706-174  17  9    34.345393 -17 28    53.364970                                                
0256-005   2 59    28.516160 - 0 19    59.975320                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
2302+232  23  4    36.436406  23 31     7.611020                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
0048-427   0 51     9.501820 -42 26    33.293250                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
0414-189   4 16    36.544451 -18 51     8.340030                                                
1909+161  19 11    58.257405  16 11    46.865320                                                
1351-018  13 54     6.895322 - 2  6     3.190440                                                
0446+112   4 49     7.671101  11 21    28.596460                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
1746+470  17 47    26.647275  46 58    50.926290                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0544+273   5 47    34.148921  27 21    56.842570                                                
2000+472  20  2    10.418256  47 25    28.773720                                                
3C371     18  6    50.680649  69 49    28.108530                                                
1639-062  16 42     2.177717 - 6 21    23.694970                                                
1514+197  15 16    56.796163  19 32    12.992020                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
2149+056  21 51    37.875493   5 52    12.954540                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
2318+049  23 20    44.856598   5 13    49.952560                                                
0707+476   7 10    46.104877  47 32    11.142720                                                
0821+394   8 24    55.483856  39 16    41.904040                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0606-223   6  8    59.686844 -22 20    20.956650                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
0111+021   1 13    43.144950   2 22    17.316300                                                
0345+460   3 49    18.741574  46  9    59.657800                                                
1456+044  14 58    59.356212   4 16    13.820600                                                
0201+113   2  3    46.657060  11 34    45.409470                                                
1622-253  16 25    46.891640 -25 27    38.326800                                                
2208-137  22 11    24.099454 -13 28     9.723890                                                
3C274     12 30    49.423382  12 23    28.043780                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
0332-403   3 34    13.654514 -40  8    25.397840                                                
0723+219   7 26    14.260738  21 53    20.114080                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
0115-214   1 17    48.780136 -21 11     6.633120                                                
0422+004   4 24    46.842061   0 36     6.329370                                                
0332+078   3 34    53.316682   8  0    14.419090                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
0008-264   0 11     1.246738 -26 12    33.377020                                                
1111+149  11 13    58.695084  14 42    26.952600                                                
0808+019   8 11    26.707312   1 46    52.220260                                                
1244-255  12 46    46.802035 -25 47    49.288790                                                
$END                                                                                            
  .8212990000000D+04           GR PH                                                            
$END                                                                                            
MATERA    NYALES20  1751+288 2019 07 04 18 30  34.0000000000                 101                
    3239520.40924076    .04948   593069.4360430526    .03443 1      I        102                
    .00011    .00000    .00000    .00000   1.274304072633339        0.       103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               104
    .07065    .01268    .00000    .00000    .00000    .00000                 105                
    25.393    10.370   961.000  1013.400    53.499    74.150 0 0             106                
       -1.6786538089    .04113        -.1236369344    .01595  0              108                
KATH12M   YARRA12M  1751+288 2019 07 04 18 30  34.0000000000                 201                
    -707202.37838219    .02852  -312676.0934677877    .01148 0      I        202                
    .00015    .00000    .00000    .00000  -4.159648830874308        0.       203                
  0.601   0.957 -0.0041  0.0167  0.0005  0.0471      39932.874               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
     9.800     9.491  1000.000   983.518    58.865   100.000 0 0             206                
        3.9842728696    .01684        -.0001043649    .00459  0              208                
HART15M   KATH12M   1751+288 2019 07 04 18 30  34.0000000000                 301                
    2763923.67094768    .02169  1980554.9390327320    .02212 0      I        302                
    .00031    .00000    .00000    .00000   3.097538376521593        0.       303                
  0.230   0.601  0.0028 -0.0041 -0.0303  0.0005      -2418.150               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
     5.742     9.800   869.100  1000.000    47.087    58.865 0 0             306                
        -.4176531469    .02252        -.0136825701    .01543  0              308                
HART15M   YARRA12M  1751+288 2019 07 04 18 30  34.0000000000                 401                
    2056720.41811335    .02251  1667878.3659611220    .02296 0      I        402                
    .00030    .00000    .00000    .00000   4.339167726266587        0.       403                
  0.230   0.957  0.0028  0.0167 -0.0303  0.0471      37514.723               404
    .00000    .00000    .00000    .00000    .00000    .00000                 405                
     5.742     9.491   869.100   983.518    47.087   100.000 0 0             406                
        3.5168000466    .01824        -.0069104864    .01253  0              408                
HART15M   ZELENCHK  1751+288 2019 07 04 18 30  34.0000000000                 501                
  -10611045.22115348    .00650   354755.9949441307    .01166 0      I        502                
    .00137    .00000    .00000    .00000  -1.393578802058609        0.       503                
  0.230   0.639  0.0028 -0.0027 -0.0303 -0.0025     636047.140               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
     5.742    14.115   869.100   887.700    47.087    89.756 0 0             506                
        3.1017595392    .00998        -.0032016960    .01273  0              508                
HART15M   NYALES20  1751+288 2019 07 04 18 30  34.0000000000                 601                
   -3917450.53082444    .01054   581439.7698041403    .01075 0      I        602                
    .00064    .00000    .00000    .00000  -2.113040692133167        0.       603                
  0.230   0.572  0.0028 -0.0008 -0.0303 -0.0117    -517455.861               604
    .00000    .01268    .00000    .00000    .00000    .00000                 605                
     5.742    10.370   869.100  1013.400    47.087    74.150 0 0             606                
        -.0163562266    .01871         .0785466233    .01279  0              608                
HART15M   MATERA    1751+288 2019 07 04 18 30  34.0000000000                 701                
   -7156965.68830006    .08407   -11629.7477098683    .08572 8      I        702                
    .00008    .00000    .00000    .00000  -2.478791513077489        0.       703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               704
    .00000    .07065    .00000    .00000    .00000    .00000                 705                
     5.742    25.393   869.100   961.000    47.087    53.499 0 0             706                
        1.5648159600    .05553        -.0256289510    .03174  0              708                
MATERA    ZELENCHK  1751+288 2019 07 04 18 30  34.0000000000                 801                
   -3454037.28265305    .10130   366405.1670067058    .18155 8      I        802                
    .00010    .00000    .00000    .00000  -5.178232846686877        0.       803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               804
    .07065    .00000    .00000    .00000    .00000    .00000                 805                
    25.393    14.115   961.000   887.700    53.499    89.756 0 0             806                
        -.5267682793    .04784        5.9753865906    .05651  0              808                
NYALES20  ZELENCHK  1751+288 2019 07 04 18 30  34.0000000000                 901                
   -6693595.56683686    .00507  -226683.3561318961    .00908 0      I        902                
    .00176    .00000    .00000    .00000  -5.266628489588786        0.       903                
  0.572   0.639 -0.0008 -0.0027 -0.0117 -0.0025    1153503.000               904
    .01268    .00000    .00000    .00000    .00000    .00000                 905                
    10.370    14.115  1013.400   887.700    74.150    89.756 0 0             906                
        3.1438589889    .00703         .0101785247    .00897  0              908                
KATH12M   NYALES20  1751+288 2019 07 04 18 30  34.0000000000                1001                
   -6681370.35069253    .01271 -1399112.2966393250    .00884 0      I       1002                
    .00044    .00000    .00000    .00000   -.441031593900082        0.      1003                
  0.601   0.572 -0.0041 -0.0008  0.0005 -0.0117    -515037.710              1004
    .00000    .01268    .00000    .00000    .00000    .00000                1005                
     9.800    10.370  1000.000  1013.400    58.865    74.150 0 0            1006                
         .3672548496    .01648         .0688573064    .00770  0             1008                
YARRA12M  ZELENCHK  1751+288 2019 07 04 18 30  34.0000000000                1101                
  -12667762.99967254    .01395 -1313120.2339457320    .02501 0      I       1102                
    .00064    .00000    .00000    .00000  -5.524564163278448        0.      1103                
  0.957   0.639  0.0167 -0.0027  0.0471 -0.0025     598532.417              1104
    .00000    .00000    .00000    .00000    .00000    .00000                1105                
     9.491    14.115   983.518   887.700   100.000    89.756 0 0            1106                
        -.4564839404    .01565         .0043768800    .01998  0             1108                
KATH12M   MATERA    1751+288 2019 07 04 18 30  34.0000000000                1201                
   -9920865.52164690    .07661 -1992180.7040975660    .03625 8      I       1202                
    .00006    .00000    .00000    .00000   -.152951799568894        0.      1203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1204
    .00000    .07065    .00000    .00000    .00000    .00000                1205                
     9.800    25.393  1000.000   961.000    58.865    53.499 0 0            1206                
         .5107719363    .04795         .0262138887    .01273  0             1208                
KATH12M   ZELENCHK  1751+288 2019 07 04 18 30  34.0000000000                1301                
  -13374964.40561675    .01015 -1625795.7277164730    .01820 0      I       1302                
    .00088    .00000    .00000    .00000  -5.012430296172941        0.      1303                
  0.601   0.639 -0.0041 -0.0027  0.0005 -0.0025     638465.290              1304
    .00000    .00000    .00000    .00000    .00000    .00000                1305                
     9.800    14.115  1000.000   887.700    58.865    89.756 0 0            1306                
        3.5227939571    .01596        -.0540276713    .02036  0             1308                
MATERA    YARRA12M  1751+288 2019 07 04 18 30  34.0000000000                1401                
    9213699.60404162    .10078  1679508.4048157050    .04768 8      I       1402                
    .00005    .00000    .00000    .00000   5.462598263666703        0.      1403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1404
    .07065    .00000    .00000    .00000    .00000    .00000                1405                
    25.393     9.491   961.000   983.518    53.499   100.000 0 0            1406                
        -.2561242938    .05641        3.6141433479    .01505  0             1408                
NYALES20  YARRA12M  1751+288 2019 07 04 18 30  34.0000000000                1501                
    5974175.04932034    .01749  1086438.0215216740    .01217 0      I       1502                
    .00032    .00000    .00000    .00000   2.901814412212291        0.      1503                
  0.572   0.957 -0.0008  0.0167 -0.0117  0.0471     554970.584              1504
    .01268    .00000    .00000    .00000    .00000    .00000                1505                
    10.370     9.491  1013.400   983.518    74.150   100.000 0 0            1506                
        3.6085623197    .01888        -.0557330827    .00883  0             1508                
HART15M   ZELENCHK  1546+027 2019 07 04 18 34  17.0000000000                1601                
    2739980.08693908    .00543   313156.6347179213    .01108 0      I       1602                
    .00176    .00000    .00000    .00000   3.671088200473745        0.      1603                
  0.101   0.752  0.0004 -0.0131 -0.0016  0.0008     636047.682              1604
    .00000    .00000    .00000    .00000    .00000    .00000                1605                
     5.446    14.209   869.100   887.709    47.670    89.528 0 0            1606                
        3.2391937479    .00711         .0210330720    .01033  0             1608                
FORTLEZA  ZELENCHK  1546+027 2019 07 04 18 34  17.0000000000                1701                
  -10325687.46588387    .00673  1591228.3423759950    .01326 0      I       1702                
    .00141    .00000    .00000    .00000  -4.158436293629995        0.      1703                
  2.458   0.752  0.0010 -0.0131 -0.0676  0.0008     645678.792              1704
   -.01950    .00000    .00000    .00000    .00000    .00000                1705                
    27.500    14.209  1008.700   887.709    73.600    89.528 0 0            1706                
        2.6863160444    .01074        -.0207423994    .01507  0             1708                
FORTLEZA  HART15M   1546+027 2019 07 04 18 34  17.0000000000                1801                
  -13065663.47230853    .01209  1278071.0262977670    .02465 0      I       1802                
    .00079    .00000    .00000    .00000   1.950585202477244        0.      1803                
  2.458   0.101  0.0010  0.0004 -0.0676 -0.0016       9631.109              1804
