DATA IN NGS FORMAT FROM DATABASE 19JUL15XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL   0.00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
MATERA      4641938.47400  1393003.32200  4133325.77100 AZEL   0.00000                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
SEJONG     -3110079.96000  4082066.73400  3775076.83200 AZEL   0.00000                          
SESHAN25   -2831687.39100  4675733.48900  3275327.50400 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
AGGO        2765116.67000 -4449233.76200 -3626420.55200 AZEL   0.00000                          
$END                                                                                            
0014+813   0 17     8.474913  81 35     8.136540                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
0119+115   1 21    41.595043  11 49    50.413100                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0215+015   2 17    48.954752   1 44    49.699070                                                
0229+131   2 31    45.894054  13 22    54.716270                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0322+222   3 25    36.814352  22 24     0.365590                                                
0516-621   5 16    44.926168 -62  7     5.389200                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0537-286   5 39    54.281476 -28 39    55.947810                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
0642+449   6 46    32.025995  44 51    16.590120                                                
0700-197   7  2    42.900669 -19 51    22.035480                                                
0718+793   7 26    11.735241  79 11    31.016210                                                
0743+277   7 46    40.432312  27 34    59.047110                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
0808+019   8 11    26.707312   1 46    52.220260                                                
0814+425   8 18    15.999605  42 22    45.414910                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1059+282  11  2    14.288458  27 57     8.689520                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
1144+402  11 46    58.297916  39 58    34.304500                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
1244-255  12 46    46.802035 -25 47    49.288790                                                
1324+224  13 27     0.861314  22 10    50.162970                                                
1352-104  13 54    46.518684 -10 41     2.656140                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1427+543  14 29    21.878790  54  6    11.122920                                                
1502+036  15  5     6.477159   3 26    30.812660                                                
1519-273  15 22    37.675989 -27 30    10.785420                                                
1606+106  16  8    46.203186  10 29     7.775830                                                
1636+473  16 37    45.130559  47 17    33.831110                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1639-062  16 42     2.177717 - 6 21    23.694970                                                
1645-329  16 48    42.351096 -33  1    48.931780                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
1839+389  18 40    57.154237  39  0    45.723950                                                
1849+670  18 49    16.072290  67  5    41.680300                                                
1908-201  19 11     9.652892 -20  6    55.108990                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
2008-159  20 11    15.710933 -15 46    40.253670                                                
2052-474  20 56    16.359819 -47 14    47.627650                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
2126-158  21 29    12.175898 -15 38    41.041310                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
2215+150  22 18    10.913903  15 20    35.717440                                                
2227-088  22 29    40.084340 - 8 32    54.435390                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2232-488  22 35    13.236577 -48 35    58.794500                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
2356+196  23 58    46.085128  19 55    20.302220                                                
3C418     20 38    37.034735  51 19    12.662590                                                
NRAO150    3 59    29.747267  50 57    50.161630                                                
NRAO190    4 42    38.660735 - 0 17    43.420530                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
OK290      9 56    49.875376  25 15    16.049910                                                
$END                                                                                            
    8.2129900000e+03           GR PH                                                            
$END                                                                                            
ISHIOKA   KATH12M   3C418    2019 07 15 17 00  21.0000000000                 101                
   11384297.15330056   0.01914   -77480.4105717732   0.02047 0      I        102                
   0.00036    .00000    .00000    .00000   5.166916542582912       0.0       103                
  1.150   1.501 -0.0017  0.0234  0.0007  0.0007       2015.122               104
   0.00000   0.00000    .00000    .00000    .00000    .00000                 105                
    18.525    17.890   998.500  1000.348    99.300    22.871 0 0             106                
       -0.1036380410   0.00975        0.0006197116   0.00460  0              108                
ISHIOKA   NYALES20  3C418    2019 07 15 17 00  21.0000000000                 201                
    4349815.42858367   0.01045  -427170.6239183637   0.01818 0      I        202                
   0.00085    .00000    .00000    .00000   4.729755986485315       0.0       203                
  1.150   0.367 -0.0017  0.0009  0.0007  0.0014    -171480.754               204
   0.00000   0.04856    .00000    .00000    .00000    .00000                 205                
    18.525     5.768   998.500  1011.700    99.300    90.384 0 0             206                
        0.2141430425   0.00694        0.0008479047   0.00661  0              208                
ISHIOKA   SEJONG    3C418    2019 07 15 17 00  21.0000000000                 301                
    -577050.10226936   0.00576  -172207.7164381728   0.00616 0      I        302                
   0.00126    .00000    .00000    .00000  -2.119459442992476       0.0       303                
  1.150   0.937 -0.0017  0.0014  0.0007 -0.0001     -32790.414               304
   0.00000   0.00000    .00000    .00000    .00000    .00000                 305                
    18.525    19.510   998.500   991.710    99.300    99.000 0 0             306                
       -0.0641402625   0.02181        0.0047746276   0.00501  0              308                
ISHIOKA   SESHAN25  3C418    2019 07 15 17 00  21.0000000000                 401                
      26651.57883353   0.00548  -255285.9170044693   0.01583 0      I        402                
   0.00207    .00000    .00000    .00000   4.420076424395957       0.0       403                
  1.150   1.022 -0.0017 -0.0103  0.0007  0.0000      19887.865               404
   0.00000   0.00000    .00000    .00000    .00000    .00000                 405                
    18.525    25.100   998.500  1007.100    99.300    93.300 0 0             406                
        0.5517715987   0.00902       -0.0054539870   0.01696  0              408                
ISHIOKA   WETTZELL  3C418    2019 07 15 17 00  21.0000000000                 501                
   10177723.96096499   0.00421  -852952.6568012190   0.00482 0      I        502                
   0.00170    .00000    .00000    .00000  -2.788460422522485       0.0       503                
  1.150   0.832 -0.0017  0.0039  0.0007 -0.0052      -2918.757               504
   0.00000  -0.01239    .00000    .00000    .00000    .00000                 505                
    18.525    22.600   998.500   944.500    99.300    34.387 0 0             506                
        1.2806979721   0.00611        0.0060160631   0.00452  0              508                
ISHIOKA   YARRA12M  3C418    2019 07 15 17 00  21.0000000000                 601                
   16412823.70621723   0.00941  -341740.3775370873   0.01006 0      I        602                
   0.00073    .00000    .00000    .00000   3.131804471319316       0.0       603                
  1.150   0.487 -0.0017  0.2297  0.0007 -0.0009      16438.281               604
   0.00000   0.00000    .00000    .00000    .00000    .00000                 605                
    18.525    10.616   998.500   995.600    99.300    60.386 0 0             606                
       -0.0098921721   0.00836        0.0001152922   0.00540  0              608                
KATH12M   NYALES20  3C418    2019 07 15 17 00  21.0000000000                 701                
   -7034477.71977138   0.01057  -349689.5286971693   0.01840 0      I        702                
   0.00084    .00000    .00000    .00000  -2.037498529916415       0.0       703                
  1.501   0.367  0.0234  0.0009  0.0007  0.0014    -173495.877               704
   0.00000   0.04856    .00000    .00000    .00000    .00000                 705                
    17.890     5.768  1000.348  1011.700    22.871    90.384 0 0             706                
        0.3343476778   0.01550        0.0411582645   0.01743  0              708                
KATH12M   SEJONG    3C418    2019 07 15 17 00  21.0000000000                 801                
  -11961346.21439817   0.02657   -94727.1717182063   0.02270 0      I        802                
   0.00024    .00000    .00000    .00000  -0.955202046870200       0.0       803                
  1.501   0.937  0.0234  0.0014  0.0007 -0.0001     -34805.536               804
   0.00000   0.00000    .00000    .00000    .00000    .00000                 805                
    17.890    19.510  1000.348   991.710    22.871    99.000 0 0             806                
        0.0805217860   0.04140       -0.0151136493   0.00754  0              808                
KATH12M   SESHAN25  3C418    2019 07 15 17 00  21.0000000000                 901                
  -11357643.59591854   0.01207  -177805.6000788159   0.03486 0      I        902                
   0.00094    .00000    .00000    .00000  -1.271275392683647       0.0       903                
  1.501   1.022  0.0234 -0.0103  0.0007  0.0000      17872.743               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
    17.890    25.100  1000.348  1007.100    22.871    93.300 0 0             906                
        0.6894020644   0.01261        0.0063119656   0.02268  0              908                
KATH12M   WETTZELL  3C418    2019 07 15 17 00  21.0000000000                1001                
   -1206564.36905856   0.00829  -775471.3728537933   0.00949 0      I       1002                
   0.00086    .00000    .00000    .00000  -4.491445146868446       0.0      1003                
  1.501   0.832  0.0234  0.0039  0.0007 -0.0052      -4933.879              1004
   0.00000  -0.01239    .00000    .00000    .00000    .00000                1005                
    17.890    22.600  1000.348   944.500    22.871    34.387 0 0            1006                
        1.4193853526   0.01422        0.0056318820   0.01064  0             1008                
KATH12M   YARRA12M  3C418    2019 07 15 17 00  21.0000000000                1101                
    5028529.60449805   0.00987  -264259.9648563207   0.00783 0      I       1102                
   0.00060    .00000    .00000    .00000   1.893670919979215       0.0      1103                
  1.501   0.487  0.0234  0.2297  0.0007 -0.0009      14423.159              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
    17.890    10.616  1000.348   995.600    22.871    60.386 0 0            1106                
        0.1040104413   0.01141       -0.0024862659   0.00572  0             1108                
NYALES20  SESHAN25  3C418    2019 07 15 17 00  21.0000000000                1201                
   -4323164.71612483   0.00549   171884.4535614937   0.01587 0      I       1202                
   0.00207    .00000    .00000    .00000  -1.545664608220037       0.0      1203                
  0.367   1.022  0.0009 -0.0103  0.0014  0.0000     191368.619              1204
   0.04856   0.00000    .00000    .00000    .00000    .00000                1205                
     5.768    25.100  1011.700  1007.100    90.384    93.300 0 0            1206                
        0.3511216028   0.00765       -0.0286907510   0.01422  0             1208                
NYALES20  WETTZELL  3C418    2019 07 15 17 00  21.0000000000                1301                
    5827910.42904438   0.00319  -425782.0272027657   0.00556 0      I       1302                
   0.00277    .00000    .00000    .00000   3.340153683408357       0.0      1303                
  0.367   0.832  0.0009  0.0039  0.0014 -0.0052     168561.997              1304
   0.04856  -0.01239    .00000    .00000    .00000    .00000                1305                
     5.768    22.600  1011.700   944.500    90.384    34.387 0 0            1306                
        1.0935574260   0.00472        0.0041153428   0.00531  0             1308                
NYALES20  YARRA12M  3C418    2019 07 15 17 00  21.0000000000                1401                
   12063007.90352894   0.01226    85430.1165591798   0.02132 0      I       1402                
   0.00072    .00000    .00000    .00000   3.089976064290204       0.0      1403                
  0.367   0.487  0.0009  0.2297  0.0014 -0.0009     187919.035              1404
   0.04856   0.00000    .00000    .00000    .00000    .00000                1405                
     5.768    10.616  1011.700   995.600    90.384    60.386 0 0            1406                
       -0.2304555559   0.01511       -0.0329366100   0.01673  0             1408                
SEJONG    NYALES20  3C418    2019 07 15 17 00  21.0000000000                1501                
    4926865.44041757   0.01373  -254963.0825148385   0.02388 0      I       1502                
   0.00068    .00000    .00000    .00000   5.277516024757248       0.0      1503                
  0.937   0.367  0.0014  0.0009 -0.0001  0.0014    -138690.341              1504
   0.00000   0.04856    .00000    .00000    .00000    .00000                1505                
    19.510     5.768   991.710  1011.700    99.000    90.384 0 0            1506                
        0.2037214439   0.03229        0.0163058275   0.01203  0             1508                
SEJONG    SESHAN25  3C418    2019 07 15 17 00  21.0000000000                1601                
     603701.63852515   0.00562   -83078.3487880662   0.01624 0      I       1602                
   0.00213    .00000    .00000    .00000   4.211166616897454       0.0      1603                
  0.937   1.022  0.0014 -0.0103 -0.0001  0.0000      52678.279              1604
   0.00000   0.00000    .00000    .00000    .00000    .00000                1605                
    19.510    25.100   991.710  1007.100    99.000    93.300 0 0            1606                
        0.5718676230   0.03219        0.0003296579   0.01996  0             1608                
SEJONG    WETTZELL  3C418    2019 07 15 17 00  21.0000000000                1701                
   10754773.68917259   0.00626  -680745.1231455733   0.00717 0      I       1702                
   0.00121    .00000    .00000    .00000  -1.002987346046574       0.0      1703                
  0.937   0.832  0.0014  0.0039 -0.0001 -0.0052      29871.657              1704
   0.00000  -0.01239    .00000    .00000    .00000    .00000                1705                
    19.510    22.600   991.710   944.500    99.000    34.387 0 0            1706                
        1.2318514675   0.03577        0.0158124840   0.00880  0             1708                
SEJONG    YARRA12M  3C418    2019 07 15 17 00  21.0000000000                1801                
   16989873.70240798   0.01530  -169532.7184997584   0.01307 0      I       1802                
   0.00043    .00000    .00000    .00000   0.570752040068969       0.0      1803                
  0.937   0.487  0.0014  0.2297 -0.0001 -0.0009      49228.695              1804
   0.00000   0.00000    .00000    .00000    .00000    .00000                1805                
    19.510    10.616   991.710   995.600    99.000    60.386 0 0            1806                
        0.0342888406   0.03420        0.0151141043   0.00626  0             1808                
SESHAN25  WETTZELL  3C418    2019 07 15 17 00  21.0000000000                1901                
   10151072.39491521   0.00494  -597666.7112790003   0.01425 0      I       1902                
   0.00231    .00000    .00000    .00000   4.971036250717622       0.0      1903                
  1.022   0.832 -0.0103  0.0039  0.0000 -0.0052     -22806.622              1904
   0.00000  -0.01239    .00000    .00000    .00000    .00000                1905                
    25.100    22.600  1007.100   944.500    93.300    34.387 0 0            1906                
        0.7547222570   0.00964        0.0019984194   0.01829  0             1908                
SESHAN25  YARRA12M  3C418    2019 07 15 17 00  21.0000000000                2001                
   16386172.27994128   0.02249   -86454.4410114045   0.06494 0      I       2002                
   0.00050    .00000    .00000    .00000   3.962639358706824       0.0      2003                
  1.022   0.487 -0.0103  0.2297  0.0000 -0.0009      -3449.584              2004
   0.00000   0.00000    .00000    .00000    .00000    .00000                2005                
    25.100    10.616  1007.100   995.600    93.300    60.386 0 0            2006                
       -0.6059930346   0.01340       -0.0000318648   0.01984  0             2008                
WETTZELL  YARRA12M  3C418    2019 07 15 17 00  21.0000000000                2101                
    6235094.56305535   0.00725   511211.9517440367   0.00831 0      I       2102                
   0.00099    .00000    .00000    .00000   0.935358167797747       0.0      2103                
  0.832   0.487  0.0039  0.2297 -0.0052 -0.0009      19357.038              2104
  -0.01239   0.00000    .00000    .00000    .00000    .00000                2105                
    22.600    10.616   944.500   995.600    34.387    60.386 0 0            2106                
       -1.3104985616   0.01418        0.0066141847   0.01067  0             2108                
AGGO      HART15M   0834-201 2019 07 15 17 02  24.0000000000                2201                
   16489535.91955402   0.19154  1280154.2717617464   0.07902 4      I       2202                
   0.00003    .00000    .00000    .00000   2.301365063353685       0.3      2203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2204
  -0.00181   0.00000    .00000    .00000    .00000    .00000                2205                
    15.600     8.765  1018.200   871.000    61.720    42.147 0 0            2206                
        0.3193680466   0.08831        3.2179494467   0.01349  0             2208                
FORTLEZA  ISHIOKA   0529+483 2019 07 15 17 03  23.0000000000                2301                
    -201107.09940152   0.02786 -1704361.5073684223   0.02718 0      I       2302                
   0.00024    .00000    .00000    .00000  -2.219448225593665       0.0      2303                
  4.420   4.785  0.0307 -0.0835 -0.0242 -0.0361       -211.437              2304
  -0.03029   0.00000    .00000    .00000    .00000    .00000                2305                
    29.200    18.669  1008.200   998.531    63.515    99.300 0 0            2306                
